City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Acapulco,MX,16.8634,-99.8901,82.26,65,0,8.81,clear sky
232,Kalat,PK,29.0225,66.5916,43.23,49,0,7.31,clear sky
233,Loandjili,CG,-4.7561,11.8578,76.89,88,89,1.54,overcast clouds
234,Soe,ID,-9.8607,124.284,68.07,88,99,5.17,overcast clouds
235,Seaford,GB,50.7714,0.1027,50.38,93,100,11.99,overcast clouds
236,Werda,BW,-25.2667,23.2833,73.38,59,28,4.45,scattered clouds
237,Healdsburg,US,38.6105,-122.8692,69.01,48,0,1.01,clear sky
238,Rio Grande,BR,-32.035,-52.0986,71.94,64,13,11.48,few clouds
239,Matara,LK,5.9485,80.5353,73.29,92,44,4.27,scattered clouds
240,Salacgriva,LV,57.7536,24.3581,29.89,78,87,16.62,overcast clouds
241,Pisco,PE,-13.7,-76.2167,69.03,81,12,5.77,few clouds
242,Mahasamund,IN,21.1,82.1,52.66,44,3,3.58,clear sky
243,Sananduva,BR,-27.9497,-51.8067,61.66,90,100,6.29,overcast clouds
244,Iqaluit,CA,63.7506,-68.5145,-9.74,98,100,6.96,overcast clouds
245,Kahului,US,20.8947,-156.47,80.96,69,5,7.09,clear sky
246,Pevek,RU,69.7008,170.3133,-15.29,100,49,2.44,scattered clouds
247,Coquimbo,CL,-29.9533,-71.3436,65.12,80,24,7.83,few clouds
248,Comodoro Rivadavia,AR,-45.8667,-67.5,65.01,81,83,8.77,broken clouds
249,Kuching,MY,1.55,110.3333,75.42,100,20,0.0,few clouds
250,Kedougou,SN,12.5579,-12.1743,82.38,20,64,2.53,broken clouds
251,Luderitz,NA,-26.6481,15.1594,68.9,72,1,28.14,clear sky
252,Torbay,CA,47.6666,-52.7314,27.57,84,100,9.22,overcast clouds
253,Qui Nhon,VN,13.7667,109.2333,70.07,88,57,6.02,broken clouds
254,Leningradskiy,RU,69.3833,178.4167,-11.96,95,66,2.3,broken clouds
255,Ahipara,NZ,-35.1667,173.1667,73.4,53,100,10.67,overcast clouds
256,Kaifeng,CN,34.7911,114.3483,28.6,90,43,4.83,scattered clouds
257,Kokkola,FI,63.8385,23.1307,19.92,93,0,4.0,clear sky
258,Faya,SA,18.3851,42.4509,51.96,89,89,4.79,overcast clouds
259,Rafaela,AR,-31.2503,-61.4867,75.99,55,0,5.44,clear sky
260,Talnakh,RU,69.4865,88.3972,1.2,93,100,12.21,light snow
261,Eirunepe,BR,-6.6603,-69.8736,75.61,95,100,2.26,moderate rain
262,Teguldet,RU,57.3064,88.1667,1.15,98,96,4.7,overcast clouds
263,Takaka,NZ,-40.85,172.8,71.56,53,63,5.64,broken clouds
264,Helong,CN,42.5397,128.9972,6.67,76,20,8.86,few clouds
265,Kulhudhuffushi,MV,6.6221,73.07,81.23,70,18,19.48,few clouds
266,Ziro,IN,27.6333,93.8333,27.18,91,1,2.86,clear sky
267,Chauk,MM,20.8833,94.8167,61.56,58,10,4.7,clear sky
268,Banjar,ID,-8.19,114.9675,80.46,89,100,0.74,overcast clouds
269,Ishigaki,JP,24.3448,124.1572,66.33,100,100,3.44,overcast clouds
270,Iisalmi,FI,63.5592,27.1907,23.02,98,82,3.11,broken clouds
271,Talcahuano,CL,-36.7167,-73.1167,61.32,88,3,8.39,clear sky
272,Iquique,CL,-20.2208,-70.1431,69.84,74,29,1.21,scattered clouds
273,Chico,US,39.7285,-121.8375,66.63,42,89,1.7,overcast clouds
274,Bluff,NZ,-46.6,168.3333,59.56,66,94,5.68,overcast clouds
